SMILES,molecule_chembl_id,IC50
COc1cc2ncnc(Oc3ccc(NC(=O)CC(Nc4ccccc4)C(F)(F)F)cc3F)c2cc1OC,CHEMBL600398,5000.0
COc1cc2nccc(Oc3ccc(NC(=O)CC(Nc4ccccc4)C(F)(F)F)cc3F)c2cc1OC,CHEMBL600603,680.0
COc1cc2nccc(Oc3ccc(NC(CC(=O)Nc4ccccc4)C(F)(F)F)cc3F)c2cc1OC,CHEMBL600604,910.0
O=C(CC(Nc1ccc(F)cc1)C(F)(F)F)Nc1ccc(Oc2cc(NC(=O)N3CCCC3)ncn2)c(F)c1,CHEMBL603082,5000.0
O=C(CC(Nc1ccc(Oc2cc(NC(=O)N3CCCC3)ncn2)c(F)c1)C(F)(F)F)Nc1ccccc1,CHEMBL612137,5000.0
Nc1cc(Oc2ccc(Nc3ncccc3C(=O)Nc3ccc(Cl)cc3)cc2F)ccn1,CHEMBL1097141,11.0
Nc1cc(Oc2ccc(Nc3ncccc3C(=O)Nc3ccc(F)cc3F)cc2F)ccn1,CHEMBL1097142,8.0
O=C(Nc1ccc(F)cc1F)c1cccnc1Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,CHEMBL1095873,7.0
Cc1ccccc1NC(=O)c1cccnc1Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,CHEMBL1099174,6.0
O=C(Nc1ccccc1Cl)c1cccnc1Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,CHEMBL1099175,24.0
CN(C(=O)c1cccnc1Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1)c1ccc(F)cc1,CHEMBL1099176,190.0
O=C(Nc1ccc(F)cn1)c1cccnc1Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,CHEMBL1099204,34.0
O=C(Nc1ccccc1)c1cccnc1Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,CHEMBL1098475,21.0
O=C(Nc1ccccc1CCO)c1cccnc1Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,CHEMBL1097543,9.0
